"ID"	"Country"	"Region"	"Year"	"Antibiotic"	"MIC"
10651545	"China"	"Shenzhen"	2018	"Ceftazidime"	16
10651545	"China"	"Shenzhen"	2018	"Ceftriaxone"	64
10651545	"China"	"Shenzhen"	2018	"Imipenem"	1
10651545	"China"	"Shenzhen"	2018	"Levofloxacin"	4
10651545	"China"	"Shenzhen"	2018	"Meropenem"	1
10651545	"China"	"Shenzhen"	2018	"Piperacillin/Tazobactam"	32
10651544	"China"	"Shenzhen"	2018	"Amikacin"	8
10651544	"China"	"Shenzhen"	2018	"Ampicillin"	32
10651544	"China"	"Shenzhen"	2018	"Ampicillin/Sulbactam"	32
10651544	"China"	"Shenzhen"	2018	"Cefepime"	16
10651544	"China"	"Shenzhen"	2018	"Cefoxitin"	16
10651544	"China"	"Shenzhen"	2018	"Ceftazidime"	16
10651544	"China"	"Shenzhen"	2018	"Ceftriaxone"	64
10651544	"China"	"Shenzhen"	2018	"Imipenem"	1
10651544	"China"	"Shenzhen"	2018	"Levofloxacin"	4
10651544	"China"	"Shenzhen"	2018	"Meropenem"	2
10651544	"China"	"Shenzhen"	2018	"Piperacillin/Tazobactam"	32
10639440	"Hungary"	"Budapest"	2018	"Amikacin"	8
10639440	"Hungary"	"Budapest"	2018	"Ampicillin"	32
10639440	"Hungary"	"Budapest"	2018	"Ampicillin/Sulbactam"	32
10639440	"Hungary"	"Budapest"	2018	"Cefepime"	8
10639440	"Hungary"	"Budapest"	2018	"Cefoxitin"	16
10639440	"Hungary"	"Budapest"	2018	"Ceftazidime"	16
10639440	"Hungary"	"Budapest"	2018	"Ceftriaxone"	32
10639440	"Hungary"	"Budapest"	2018	"Imipenem"	0.5
10639440	"Hungary"	"Budapest"	2018	"Levofloxacin"	4
10639440	"Hungary"	"Budapest"	2018	"Meropenem"	1
10639440	"Hungary"	"Budapest"	2018	"Piperacillin/Tazobactam"	32
10584374	"Lebanon"	NA	2018	"Amikacin"	8
10584374	"Lebanon"	NA	2018	"Ampicillin"	32
10584374	"Lebanon"	NA	2018	"Ampicillin/Sulbactam"	32
10584374	"Lebanon"	NA	2018	"Cefepime"	16
10584374	"Lebanon"	NA	2018	"Cefoxitin"	16
10584374	"Lebanon"	NA	2018	"Ceftazidime"	16
10584374	"Lebanon"	NA	2018	"Ceftriaxone"	64
10584374	"Lebanon"	NA	2018	"Imipenem"	1
10584374	"Lebanon"	NA	2018	"Levofloxacin"	4
10584374	"Lebanon"	NA	2018	"Meropenem"	2
10584374	"Lebanon"	NA	2018	"Piperacillin/Tazobactam"	32
10527295	"Egypt"	NA	2018	"Amikacin"	16
10527295	"Egypt"	NA	2018	"Ampicillin"	32
10527295	"Egypt"	NA	2018	"Ampicillin/Sulbactam"	32
10527295	"Egypt"	NA	2018	"Cefepime"	16
10527295	"Egypt"	NA	2018	"Cefoxitin"	16
10527295	"Egypt"	NA	2018	"Ceftazidime"	16
10527295	"Egypt"	NA	2018	"Ceftriaxone"	64
10527295	"Egypt"	NA	2018	"Imipenem"	1
10527295	"Egypt"	NA	2018	"Levofloxacin"	4
10527295	"Egypt"	NA	2018	"Meropenem"	2
10527295	"Egypt"	NA	2018	"Piperacillin/Tazobactam"	32
10527294	"Egypt"	NA	2018	"Amikacin"	16
10527294	"Egypt"	NA	2018	"Ampicillin"	32
10527294	"Egypt"	NA	2018	"Ampicillin/Sulbactam"	32
10527294	"Egypt"	NA	2018	"Cefepime"	32
10527294	"Egypt"	NA	2018	"Cefoxitin"	32
10527294	"Egypt"	NA	2018	"Ceftazidime"	32
10527294	"Egypt"	NA	2018	"Ceftriaxone"	128
10527294	"Egypt"	NA	2018	"Imipenem"	0.5
10527294	"Egypt"	NA	2018	"Levofloxacin"	8
10527294	"Egypt"	NA	2018	"Meropenem"	0.125
10527294	"Egypt"	NA	2018	"Piperacillin/Tazobactam"	32
10527293	"Egypt"	NA	2018	"Amikacin"	16
10527293	"Egypt"	NA	2018	"Ampicillin"	32
10527293	"Egypt"	NA	2018	"Ampicillin/Sulbactam"	32
10527293	"Egypt"	NA	2018	"Cefepime"	16
10527293	"Egypt"	NA	2018	"Cefoxitin"	16
10527293	"Egypt"	NA	2018	"Ceftazidime"	16
10527293	"Egypt"	NA	2018	"Ceftriaxone"	64
10527293	"Egypt"	NA	2018	"Imipenem"	1
10527293	"Egypt"	NA	2018	"Levofloxacin"	4
10527293	"Egypt"	NA	2018	"Meropenem"	2
10527293	"Egypt"	NA	2018	"Piperacillin/Tazobactam"	32
10527290	"Egypt"	NA	2018	"Amikacin"	8
10527290	"Egypt"	NA	2018	"Ampicillin"	32
10527290	"Egypt"	NA	2018	"Ampicillin/Sulbactam"	32
10527290	"Egypt"	NA	2018	"Cefepime"	8
10527290	"Egypt"	NA	2018	"Cefoxitin"	32
10527290	"Egypt"	NA	2018	"Ceftazidime"	16
10527290	"Egypt"	NA	2018	"Ceftriaxone"	64
10527290	"Egypt"	NA	2018	"Imipenem"	1
10527290	"Egypt"	NA	2018	"Levofloxacin"	4
10527290	"Egypt"	NA	2018	"Meropenem"	4
10527290	"Egypt"	NA	2018	"Piperacillin/Tazobactam"	32
10527289	"Egypt"	NA	2018	"Amikacin"	8
10527289	"Egypt"	NA	2018	"Ampicillin"	32
10527289	"Egypt"	NA	2018	"Ampicillin/Sulbactam"	32
10527289	"Egypt"	NA	2018	"Cefepime"	16
10527289	"Egypt"	NA	2018	"Cefoxitin"	32
10527289	"Egypt"	NA	2018	"Ceftazidime"	32
10527289	"Egypt"	NA	2018	"Ceftriaxone"	64
10527289	"Egypt"	NA	2018	"Imipenem"	1
10527289	"Egypt"	NA	2018	"Levofloxacin"	4
10527289	"Egypt"	NA	2018	"Meropenem"	4
10527289	"Egypt"	NA	2018	"Piperacillin/Tazobactam"	64
10527287	"Egypt"	NA	2018	"Amikacin"	16
